galaxies.galaxy.bulge.profile_list.59.centre.centre_0,galaxies.galaxy.bulge.profile_list.59.centre.centre_1,galaxies.galaxy.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.galaxy.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.galaxy.bulge.profile_list.59.ell_comps.ell_comps_0,galaxies.galaxy.bulge.profile_list.59.ell_comps.ell_comps_1,     log_likelihood,           log_prior,      log_posterior,weight
                                   0.0766064105790101,                                 0.057909719864055687,                                        0.04073867360332461,                                       -0.03738037234118869,                                       -0.11825309501487424,                                        -0.2883496294643261,-1013.8337194833903,  0.5869808459795476,-1013.2467386374108,   0.0
                                  0.02614727866753072,                                  0.04734839341921654,                                        0.04651699645207431,                                        0.17679817433903267,                                         0.4846665295533074,                                       -0.29380669388815694,-11376.739907844978, -0.8266814239934434,-11377.566589268972,   0.0
                              -0.00046412498947800973,                                  0.07458991683606528,                                         -0.624905139263779,                                        -0.0954106059316546,                                        -0.3501872702528715,                                        -0.0867024383576307, -9705.358748154635, -1.7995292585243958, -9707.158277413158,   0.0
                                 0.046342948018068486,                                 -0.07119987548814677,                                        0.03810016934481565,                                      -0.035437401963388744,                                        0.10881835752650526,                                     -0.0004513196048528854,-1361.3682718678947,  1.0627428685904625,-1360.3055289993042,   0.0
                                -0.005990566197579247,                                  0.09007572715559925,                                         0.2418858326505496,                                        0.18073713919966206,                                         0.2054678510044722,                                        0.07753822446558521,-19376.489154524468, 0.36910502088696945, -19376.12004950358,   0.0
                                  -0.0806451226638168,                                 -0.03890198520977842,                                       -0.14911544349562653,                                        -0.3315597609001318,                                        0.21892297124936944,                                        0.20749122918656623, -914.6377660415956,-0.09613544852555929, -914.7339014901212,   0.0
                                 -0.04782468531620701,                                 -0.01035584231749842,                                        -0.7269868113138787,                                        -0.1373682178199107,                                          0.387187824764134,                                        0.08219524948569083, -4122.647908164322,  -2.767819635791569, -4125.415727800114,   0.0
                                -0.024876548225790246,                                -0.046221750513549466,                                       -0.12935032847095007,                                          -0.19927878316371,                                        -0.3475026550127154,                                        -0.3043851789157329,   722.977854695614,-0.35560658859303873,   722.622248107021,   0.0
                                 0.058533594493490604,                                  0.05717939965235044,                                        0.16751186196716636,                                        -0.2200216289089942,                                        0.46765779270035196,                                       -0.42470411545972286,-14766.499611921477, -1.4983575028711749,-14767.997969424348,   0.0
                                 -0.09954664742147926,                                 -0.07381934398437705,                                        -0.4359865917793864,                                      -0.028161762742713533,                                       -0.07926488314995493,                                        0.06347048624159284, -4768.282581051172, 0.02585538842084034, -4768.256725662752,   0.0
                                 -0.03067205140071272,                                 0.032671757849726674,                                        -0.9199632465746702,                                         0.4280996159182914,                                        0.11628162570542433,                                      -0.017514423998978068,-3317.6897097550727,  -4.653261335499195, -3322.342971090572,   0.0
                                  -0.0578973631616313,                                 -0.08434048106801739,                                       -0.40710599735442937,                                        0.06223957134014684,                                         0.6847591314242713,                                        0.09594606017420536, -7938.803848779714,  -2.454816580677616, -7941.258665360391,   0.0
                                -0.021916919485514996,                                 -0.06279833812611169,                                       -0.31284252844364996,                                       -0.11183138368540994,                                        0.12402027681278344,                                       -0.24390315102160365,  1219.882199444407, 0.11442391785254317, 1219.9966233622595,   0.0
                                 0.025745690712861535,                                 -0.08772531297345743,                                        0.07790452100816818,                                        0.18888639446177055,                                       -0.09426244620699538,                                       -0.12379304291229098, 2391.2692407516124,  0.7771415371542387,  2392.046382288767,   0.0
                                -0.019992021290616238,                                 -0.00788795342775972,                                        -0.7707387133219269,                                       -0.19760245142927516,                                         -0.792203512863363,                                       -0.12200151085319519,-35596.785038810245,  -5.942849334083665, -35602.72788814433,   0.0
                                 -0.08298661202714928,                                 0.004547456639702491,                                         -0.279844153941874,                                        0.07861169199059594,                                         0.4664733433469276,                                     -0.0015512691143703835,-3203.4826811982466, -0.5347197098318877,-3204.0174009080783,   0.0
                                  0.04194228811993822,                                  -0.0416483728803299,                                        -0.2921109022365363,                                       -0.02189462596064953,                                       -0.29327046826467806,                                      -0.004043092652610043, -4114.685882477105, 0.18894844070373612, -4114.496934036401,   0.0
                                  0.08314544919246505,                                 -0.07122705056923428,                                       -0.02978452060419981,                                        -0.3278188537687988,                                        0.17675785553263781,                                         0.3095869570565417, -2998.428122907927,-0.16442752607490735, -2998.592550434002,   0.0
