ellipses.0.centre.centre_0,ellipses.0.centre.centre_1,ellipses.0.ell_comps.ell_comps_0,ellipses.0.ell_comps.ell_comps_1,          log_likelihood,log_prior,           log_posterior,weight
          0.09879892863309,          0.01002549867003,                0.43493308760078,               -0.50355593318424,-1.0000000000000001e+133,      0.0,-1.0000000000000001e+133,   0.0
         -0.08452680469788,         -0.05562720320774,               -0.04931042332341,               -0.45238176170335,-1.0000000000000001e+132,      0.0,-1.0000000000000001e+132,   0.0
         -0.09152517219038,          0.04829912001864,                0.25133828284693,                0.45911298507688,-1.0000000000000001e+131,      0.0,-1.0000000000000001e+131,   0.0
         -0.00380734987694,          0.07232920975948,                0.17806395376732,                0.34838944019465,                 -1e+130,      0.0,                 -1e+130,   0.0
         -0.07874769829178,         -0.04380708122435,               -0.13767290377053,                0.41578469127718,                 -1e+129,      0.0,                 -1e+129,   0.0
          0.09876087142816,          0.03615329988058,                0.32277861275761,                0.54882807351396,                 -1e+128,      0.0,                 -1e+128,   0.0
          0.02195278588503,         -0.08339739410939,               -0.12257847898722,               -0.08422044701943,-1.0000000000000001e+127,      0.0,-1.0000000000000001e+127,   0.0
         -0.01864474578338,         -0.04180606080228,                0.13918457025557,               -0.30617347315802,-1.0000000000000001e+126,      0.0,-1.0000000000000001e+126,   0.0
          0.07724980290368,          -0.0677896195727,                0.22960842358107,               -0.44619954600663,-1.0000000000000001e+125,      0.0,-1.0000000000000001e+125,   0.0
          0.02853674138178,          -0.0793543568849,                -0.3007595874652,               -0.49032055422352,-1.0000000000000001e+124,      0.0,-1.0000000000000001e+124,   0.0
          0.07534513187894,         -0.01021946227313,                0.20564089662943,               -0.01903848469327,-1.0000000000000001e+123,      0.0,-1.0000000000000001e+123,   0.0
         -0.06579725571366,          0.04584746892466,               -0.31076470789298,                0.05648385639057,-1.0000000000000002e+122,      0.0,-1.0000000000000002e+122,   0.0
         -0.01046057892496,          0.05060075325482,                -0.0286481616586,                0.18606727648296,-1.0000000000000002e+121,      0.0,-1.0000000000000002e+121,   0.0
          0.09653976838797,         -0.06911787884929,               -0.20650252767777,               -0.15893761183728,-1.0000000000000001e+120,      0.0,-1.0000000000000001e+120,   0.0
           0.0396215989783,          0.00668945639113,                0.27931297176387,                0.12807078963829,-1.0000000000000001e+119,      0.0,-1.0000000000000001e+119,   0.0
          -0.0177638826899,         -0.01509089983181,                0.01287590865848,               -0.13107275667242,-1.0000000000000002e+118,      0.0,-1.0000000000000002e+118,   0.0
          0.08179611580066,          0.02840818528971,                0.01816904033463,                0.55044565449984,-1.0000000000000002e+117,      0.0,-1.0000000000000002e+117,   0.0
         -0.07628533521076,          -7.228469668e-05,                0.18111442152959,                0.31148656778932,-1.0000000000000002e+116,      0.0,-1.0000000000000002e+116,   0.0
